Time,PORT__AdcVc
0,1037
200,1007
400,950
600,1024
800,1027
1000,1059
1200,1045
1400,984
1600,987
1800,1029
2000,966
2200,1016
2400,1004
2600,1016
2800,1045
3000,1005
3200,1005
3400,1030
3600,968
3800,1039
4000,969
4200,951
4400,957
4600,958
4800,1022
5000,1002
5200,1004
5400,971
5600,1026
5800,1010
6000,1029
6200,1025
6400,951
6600,943
6800,1016
7000,886
7200,1029
7400,911
7600,974
7800,953
8000,938
8200,941
8400,919
8600,936
8800,988
9000,1017
9200,1013
9400,961
9600,1022
9800,1038
10000,1024
10200,1012
10400,917
10600,1028
10800,984
11000,979
11200,977
11400,962
11600,1034
11800,1018
12000,1015
12200,976
12400,942
12600,1033
12800,1007
13000,938
13200,993
13400,1023
13600,1040
13800,1065
14000,1046
14200,1032
14400,960
14600,1040
14800,1023
15000,1047
15200,1048
15400,999
15600,1053
15800,1035
16000,1016
16200,1048
16400,1009
16600,1038
16800,1008
17000,1033
17200,1041
17400,996
17600,1049
17800,1026
18000,1010
18200,1034
18400,987
18600,962
18800,1053
19000,1090
19200,1125
19400,1128
19600,1108
19800,1056
20000,1074
20200,1074
20400,1049
20600,1034
20800,1050
21000,1039
21200,1035
21400,1037
21600,1013
21800,1015
22000,1036
22200,1009
22400,1017
22600,973
22800,1032
23000,1038
23200,1024
23400,1037
23600,1020
23800,1029
24000,1045
24200,1046
24400,1055
24600,1012
24800,1042
25000,1023
25200,1014
25400,934
25600,1036
25800,1001
26000,1025
26200,1030
26400,1020
26600,1013
26800,984
27000,999
27200,977
27400,895
27600,957
27800,968
28000,989
28200,1003
28400,915
28600,1010
28800,1009
29000,989
29200,1001
29400,992
29600,1020
29800,1027
30000,1013
30200,988
30400,935
30600,1031
30800,961
31000,1050
31200,1007
31400,993
31600,1003
31800,972
32000,994
32200,1012
32400,1000
32600,1056
32800,974
33000,1080
33200,1035
33400,1045
33600,994
33800,985
34000,990
34200,1015
34400,1046
34600,1068
34800,1050
35000,1024
35200,1000
35400,1015
